Name,Position,Height,Weight,Body_mass_index,Games_Played,Goals,Assists,Shots_on_Goal
Aaron Downey,Right_wing,185,98,28.6,243,8.0,10.0,85.0
Aaron Gagnon,Centre,180,85,26.2,38,3.0,2.0,28.0
Aaron Gavey,Centre,188,86,24.3,197,23.0,32.0,224.0
Aaron MacKenzie,Defence,183,88,26.3,5,0.0,0.0,3.0
Aaron Miller,Defence,190,94,26.0,475,13.0,64.0,353.0
Aaron Ness,Defence,178,83,26.2,71,1.0,6.0,50.0
Aaron Palushaj,Right_wing,183,85,25.4,68,3.0,11.0,71.0
Aaron Rome,Defence,185,100,29.2,226,6.0,22.0,194.0
Aaron Volpatti,Left_wing,185,92,26.9,114,5.0,2.0,63.0
Aaron Voros,Left_wing,193,98,26.3,162,18.0,19.0,148.0
Aaron Ward,Defence,188,98,27.7,672,33.0,88.0,543.0
Adam Almqvist,Defence,180,78,24.1,2,1.0,0.0,2.0
Adam Berti,Left_wing,190,94,26.0,2,0.0,0.0,1.0
Adam Burish,Right_wing,185,88,25.7,378,27.0,33.0,414.0
Adam Burt,Defence,188,95,26.9,94,1.0,8.0,67.0
Adam Cracknell,Right_wing,190,95,26.3,210,21.0,22.0,245.0
Adam Deadmarsh,Right_wing,183,95,28.4,224,77.0,79.0,473.0
Adam Foote,Defence,188,100,28.3,655,43.0,152.0,697.0
Adam Graves,Left_wing,183,93,27.8,322,59.0,56.0,587.0
Adam Hall,Right_wing,190,97,26.9,682,69.0,87.0,978.0
Adam Henrique,Centre,183,88,26.3,665,186.0,192.0,1208.0
Adam Mair,Centre,185,94,27.5,615,38.0,76.0,579.0
Adam McQuaid,Defence,193,95,25.5,512,16.0,57.0,403.0
Adam Oates,Centre,180,86,26.5,370,53.0,241.0,366.0
Adam Pardy,Defence,193,100,26.9,342,4.0,48.0,251.0
Adam Pineault,Right_wing,185,91,26.6,3,0.0,0.0,5.0
Adrian Aucoin,Defence,188,98,27.7,871,85.0,234.0,1668.0
Aki Berg,Defence,190,97,26.9,442,13.0,49.0,339.0
Akim Aliu,Centre,190,93,25.8,7,2.0,1.0,5.0
Al MacInnis,Defence,185,93,27.2,274,50.0,159.0,1002.0
Alain Nasreddine,Defence,185,93,27.2,59,1.0,4.0,35.0
Alan Letang,Defence,185,92,26.9,14,0.0,0.0,3.0
Alec Martinez,Defence,185,95,27.8,607,64.0,142.0,902.0
Aleksander Suglobov,Right_wing,183,91,27.2,18,1.0,0.0,24.0
Aleksey Morozov,Right_wing,185,93,27.2,308,62.0,112.0,513.0
Ales Hemsky,Right_wing,183,83,24.8,845,174.0,398.0,1650.0
Ales Kotalik,Right_wing,185,102,29.8,542,136.0,148.0,1373.0
Ales Pisa,Defence,183,88,26.3,53,1.0,3.0,40.0
Alex Biega,Defence,178,90,28.4,228,4.0,35.0,330.0
Alex Bolduc,Centre,190,91,25.2,65,2.0,3.0,63.0
Alex Brooks,Defence,185,88,25.7,19,0.0,1.0,4.0
Alex Burrows,Left_wing,185,85,24.8,913,205.0,204.0,1736.0
Alex Foster,Left_wing,185,86,25.1,3,0.0,0.0,1.0
Alex Friesen,Centre,175,84,27.4,1,0.0,0.0,1.0
Alex Goligoski,Defence,180,84,25.9,868,80.0,327.0,1367.0
Alex Grant,Defence,193,93,25.0,7,2.0,0.0,6.0
Alex Henry,Defence,198,104,26.5,177,2.0,9.0,86.0
Alex Hicks,Left_wing,183,86,25.7,8,1.0,2.0,6.0
Alex Killorn,Centre,188,90,25.5,585,131.0,179.0,1154.0
Alex Korolyuk,Left_wing,175,86,28.1,222,48.0,59.0,421.0
Alex Kovalev,Right_wing,185,102,29.8,851,291.0,417.0,2484.0
Alex Ovechkin,Left_wing,190,108,29.9,1152,706.0,572.0,5545.0
Alex Petrovic,Defence,193,93,25.0,263,5.0,45.0,253.0
Alex Pietrangelo,Defence,190,93,25.8,758,109.0,341.0,1801.0
Alex Plante,Defence,193,102,27.4,10,0.0,2.0,9.0
Alex Tanguay,Left_wing,185,88,25.7,1088,283.0,580.0,1525.0
Alex Zhamnov,Centre,185,93,27.2,352,85.0,195.0,764.0
Alexander Burmistrov,Centre,185,82,24.0,348,37.0,64.0,435.0
Alexander Edler,Defence,190,98,27.1,873,99.0,302.0,1922.0
Alexander Frolov,Left_wing,188,95,26.9,579,175.0,222.0,1274.0
Alexander Karpovtsev,Defence,190,100,27.7,260,10.0,54.0,217.0
Alexander Kharitonov,Left_wing,175,77,25.1,71,7.0,15.0,108.0
Alexander Khavanov,Defence,185,87,25.4,348,27.0,75.0,375.0
Alexander Mogilny,Right_wing,183,95,28.4,344,144.0,174.0,939.0
Alexander Nikulin,Centre,185,92,26.9,3,0.0,0.0,1.0
Alexander Perezhogin,Right_wing,183,96,28.7,128,15.0,19.0,212.0
Alexander Radulov,Right_wing,185,91,26.6,442,136.0,198.0,1005.0
Alexander Selivanov,Right_wing,183,94,28.1,126,35.0,31.0,226.0
Alexander Semin,Right_wing,188,95,26.9,650,239.0,278.0,1871.0
Alexander Steen,Left_wing,183,96,28.7,1018,245.0,377.0,2431.0
Alexander Sulzer,Defence,185,90,26.3,131,7.0,15.0,121.0
Alexander Svitov,Centre,190,103,28.5,179,13.0,24.0,204.0
Alexander Urbom,Defence,193,98,26.3,34,3.0,1.0,24.0
Alexander Vasyunov,Left_wing,185,93,27.2,18,1.0,4.0,18.0
Alexandre Boikov,Defence,183,90,26.9,10,0.0,0.0,4.0
Alexandre Daigle,Right_wing,183,88,26.3,215,37.0,75.0,304.0
