Name,SEASON_year,Games_Played,Goals,Assists,Points,PlusMinus_Ratings,Game_Winning_Goals,Position,Height,Weight,Age,Experience
Aaron Downey,2000,1,0.0,0.0,0.0,0.0,0.0,Right_wing,185,98,26,1
Aaron Downey,2001,3,0.0,0.0,0.0,-1.0,0.0,Right_wing,185,98,27,2
Aaron Downey,2002,36,1.0,0.0,1.0,-2.0,1.0,Right_wing,185,98,28,3
Aaron Downey,2003,43,1.0,1.0,2.0,1.0,0.0,Right_wing,185,98,29,4
Aaron Downey,2004,37,1.0,1.0,2.0,2.0,1.0,Right_wing,185,98,30,5
Aaron Downey,2006,25,1.0,4.0,5.0,2.0,0.0,Right_wing,185,98,32,7
Aaron Downey,2006,17,2.0,0.0,2.0,0.0,0.0,Right_wing,185,98,32,7
Aaron Downey,2007,21,1.0,0.0,1.0,-6.0,1.0,Right_wing,185,98,33,8
Aaron Downey,2008,56,0.0,3.0,3.0,0.0,0.0,Right_wing,185,98,34,9
Aaron Downey,2009,4,1.0,1.0,2.0,0.0,0.0,Right_wing,185,98,35,10
Aaron Gagnon,2010,2,0.0,0.0,0.0,0.0,0.0,Centre,180,85,24,1
Aaron Gagnon,2011,19,0.0,2.0,2.0,-3.0,0.0,Centre,180,85,25,2
Aaron Gagnon,2012,7,0.0,0.0,0.0,-1.0,0.0,Centre,180,85,26,3
Aaron Gagnon,2013,10,3.0,0.0,3.0,2.0,1.0,Centre,180,85,27,4
Aaron Gavey,1996,73,8.0,4.0,12.0,-6.0,2.0,Centre,188,86,22,1
Aaron Gavey,1997,16,1.0,2.0,3.0,-1.0,0.0,Centre,188,86,23,2
Aaron Gavey,1997,41,7.0,9.0,16.0,-11.0,1.0,Centre,188,86,23,2
Aaron Gavey,1998,26,2.0,3.0,5.0,-5.0,1.0,Centre,188,86,24,3
Aaron Gavey,1999,7,0.0,0.0,0.0,-1.0,0.0,Centre,188,86,25,4
Aaron Gavey,2000,41,7.0,6.0,13.0,0.0,2.0,Centre,188,86,26,5
Aaron Gavey,2001,75,10.0,14.0,24.0,-8.0,2.0,Centre,188,86,27,6
Aaron Gavey,2002,71,6.0,11.0,17.0,-21.0,0.0,Centre,188,86,28,7
Aaron Gavey,2003,5,0.0,1.0,1.0,1.0,0.0,Centre,188,86,29,8
Aaron Gavey,2006,5,0.0,0.0,0.0,0.0,0.0,Centre,188,86,32,11
Aaron MacKenzie,2009,5,0.0,0.0,0.0,1.0,0.0,Defence,183,88,28,1
Aaron Miller,1994,1,0.0,0.0,0.0,-1.0,0.0,Defence,190,94,24,1
Aaron Miller,1995,9,0.0,3.0,3.0,2.0,0.0,Defence,190,94,25,2
Aaron Miller,1996,5,0.0,0.0,0.0,0.0,0.0,Defence,190,94,26,3
Aaron Miller,1997,56,5.0,12.0,17.0,15.0,3.0,Defence,190,94,27,4
Aaron Miller,1998,55,2.0,2.0,4.0,0.0,0.0,Defence,190,94,28,5
Aaron Miller,1999,76,5.0,13.0,18.0,3.0,2.0,Defence,190,94,29,6
Aaron Miller,2000,53,1.0,7.0,8.0,3.0,0.0,Defence,190,94,30,7
Aaron Miller,2001,13,0.0,5.0,5.0,3.0,0.0,Defence,190,94,31,8
Aaron Miller,2001,56,4.0,9.0,13.0,19.0,0.0,Defence,190,94,31,8
Aaron Miller,2002,74,5.0,12.0,17.0,14.0,3.0,Defence,190,94,32,9
Aaron Miller,2003,49,1.0,5.0,6.0,-7.0,0.0,Defence,190,94,33,10
Aaron Miller,2004,35,1.0,2.0,3.0,-3.0,0.0,Defence,190,94,34,11
Aaron Miller,2006,56,0.0,8.0,8.0,-6.0,0.0,Defence,190,94,36,13
Aaron Miller,2007,82,0.0,8.0,8.0,-14.0,0.0,Defence,190,94,37,14
Aaron Miller,2008,57,1.0,8.0,9.0,-1.0,1.0,Defence,190,94,38,15
Aaron Ness,2012,9,0.0,0.0,0.0,0.0,0.0,Defence,178,83,22,1
Aaron Ness,2014,20,1.0,2.0,3.0,-13.0,0.0,Defence,178,83,24,3
Aaron Ness,2016,8,0.0,2.0,2.0,4.0,0.0,Defence,178,83,26,5
Aaron Ness,2017,2,0.0,0.0,0.0,-1.0,0.0,Defence,178,83,27,6
Aaron Ness,2018,8,0.0,1.0,1.0,2.0,0.0,Defence,178,83,28,7
Aaron Ness,2020,24,0.0,1.0,1.0,1.0,0.0,Defence,178,83,30,9
Aaron Palushaj,2011,3,0.0,0.0,0.0,1.0,0.0,Right_wing,183,85,22,1
Aaron Palushaj,2012,38,1.0,4.0,5.0,1.0,0.0,Right_wing,183,85,23,2
Aaron Palushaj,2013,25,2.0,7.0,9.0,-2.0,0.0,Right_wing,183,85,24,3
Aaron Palushaj,2014,2,0.0,0.0,0.0,-1.0,0.0,Right_wing,183,85,25,4
Aaron Rome,2007,1,0.0,0.0,0.0,-1.0,0.0,Defence,185,100,24,1
Aaron Rome,2008,17,1.0,1.0,2.0,-4.0,0.0,Defence,185,100,25,2
Aaron Rome,2009,8,0.0,1.0,1.0,1.0,0.0,Defence,185,100,26,3
Aaron Rome,2010,49,0.0,4.0,4.0,-2.0,0.0,Defence,185,100,27,4
Aaron Rome,2011,56,1.0,4.0,5.0,1.0,0.0,Defence,185,100,28,5
Aaron Rome,2012,43,4.0,6.0,10.0,-4.0,1.0,Defence,185,100,29,6
Aaron Rome,2013,27,0.0,5.0,5.0,-2.0,0.0,Defence,185,100,30,7
Aaron Rome,2014,25,0.0,1.0,1.0,-6.0,0.0,Defence,185,100,31,8
Aaron Volpatti,2011,15,1.0,1.0,2.0,-1.0,0.0,Left_wing,185,92,26,1
Aaron Volpatti,2012,23,1.0,0.0,1.0,-2.0,0.0,Left_wing,185,92,27,2
Aaron Volpatti,2013,16,1.0,0.0,1.0,0.0,0.0,Left_wing,185,92,28,3
Aaron Volpatti,2013,17,0.0,1.0,1.0,-2.0,0.0,Left_wing,185,92,28,3
Aaron Volpatti,2014,41,2.0,0.0,2.0,-3.0,0.0,Left_wing,185,92,29,4
Aaron Volpatti,2015,2,0.0,0.0,0.0,0.0,0.0,Left_wing,185,92,30,5
