Name,Games_Played,Goals,Assists,Points,PlusMinus_Ratings,Game_Winning_Goals
Alex Ovechkin,1152,706.0,572.0,1278.0,82.0,110.0
Corey Perry,1045,377.0,420.0,797.0,74.0,64.0
Evgeni Malkin,907,416.0,660.0,1076.0,73.0,73.0
Henrik Sedin,1330,240.0,830.0,1070.0,165.0,38.0
Joe Sakic,1378,625.0,1016.0,1641.0,30.0,86.0
Joe Thornton,1636,420.0,1089.0,1509.0,186.0,67.0
Martin St. Louis,1134,391.0,642.0,1033.0,37.0,66.0
Patrick Kane,973,389.0,633.0,1022.0,69.0,62.0
Peter Forsberg,708,249.0,636.0,885.0,237.0,43.0
Sidney Crosby,984,462.0,801.0,1263.0,175.0,64.0
Taylor Hall,627,218.0,345.0,563.0,-42.0,37.0
